	Tweets	full_tweet	ID	Username	Date	Hashtags	Retweeted	Source	Likes	Retweets	Date_in_seconds	Geo	Coordinates
1096	Удобный сервис по подбору Ипотеки с бонусом по моей ссылке https://t.co/DlUXJTol6I		1.0670564426775675e+18	Bav19852011	Mon Nov 26 14:04:15 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543241055.0		
1097	Кредитная карта с повышенным кредитным лимитом по моей ссылке https://t.co/ywnTDn9LDn		1.0670563843474391e+18	Bav19852011	Mon Nov 26 14:04:01 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543241041.0		
1098	@tinkoff_bank Да все ок. Подозрительные совпадения прост))		1.067054652540289e+18	BillyCostigan90	Mon Nov 26 13:57:08 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	0.0	1543240628.0		
1099	"@_vesag Пасиб ❤
https://t.co/yVZDJtj3ZY"		1.0670529996027822e+18	j0estar	Mon Nov 26 13:50:34 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543240234.0		
1100	@tinkoff_bank Это называется протекция. Когда мамы распространенный госбанк выкидывают из списка, а два других оста… https://t.co/Tbh4qcAV3d		1.0670521536074711e+18	Vovan_Z_one	Mon Nov 26 13:47:12 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	0.0	1543240032.0		
1101	@OdintsovAnatoli Тинькофф 😎		1.0670518226936586e+18	tinkoff_bank	Mon Nov 26 13:45:54 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543239954.0		
1102	@conor_ks А если попробовать через наш же сайт вернуть? Как правило, сторонние банки при этом комиссию не берут, но… https://t.co/7F0b75O0zv		1.0670517758474854e+18	tinkoff_bank	Mon Nov 26 13:45:42 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543239942.0		
1103	@Vovan_Z_one А что не так? :)		1.0670515085906289e+18	tinkoff_bank	Mon Nov 26 13:44:39 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543239879.0		
1104	@BlizzedRu А что за последовательность, поделитесь?		1.0670513986452111e+18	tinkoff_bank	Mon Nov 26 13:44:12 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543239852.0		
1105	@avpravednikov Неплохой стартовый капитал!		1.0670511948818432e+18	tinkoff_bank	Mon Nov 26 13:43:24 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543239804.0		
1106	@find_you_yalta Рекомендуем заблокировать карту и обратиться в банк для перевыпуска.		1.0670509865381765e+18	tinkoff_bank	Mon Nov 26 13:42:34 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543239754.0		
1107	@tinkoff_bank Персональный менеджер — хорошо ровно до того момента, как он не окажется на встрече в самый нужный мо… https://t.co/uPiwoXJzHl		1.067050694606291e+18	kabushev	Mon Nov 26 13:41:25 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	0.0	1543239685.0		
1108	@danya_mickey Если поступает соответствующий запрос от приставов, не можем его игнорировать, как и любой другой бан… https://t.co/MNzhFwEv46		1.0670506881848074e+18	tinkoff_bank	Mon Nov 26 13:41:23 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543239683.0		
1109	"@BillyCostigan90 Мы не при чем :)
Надеемся, средства поступили вовремя."		1.067050420227457e+18	tinkoff_bank	Mon Nov 26 13:40:19 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543239619.0		
1110	@belashdv1 А что с ними не так? Будем признательны за подробности.		1.0670500762987151e+18	tinkoff_bank	Mon Nov 26 13:38:57 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543239537.0		
1111	@kabushev У нас, кстати, также есть персональный менеджер для клиентов с премиальными картами :)		1.0670499810628485e+18	tinkoff_bank	Mon Nov 26 13:38:34 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543239514.0		
1112	"@100__suns Тинькофф 😎
Если будут какие-то вопросы по условиям, дайте знать. Обязательно подскажем."		1.0670495668500398e+18	tinkoff_bank	Mon Nov 26 13:36:56 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543239416.0		
1113	RT @tinkoffjournal: Отдавая что-то в ремонт, требуйте, чтобы вам вернули вещь в целости и сохранности. Вот как нужно действовать, если кто-…		1.0670495097991291e+18	kohgpat	Mon Nov 26 13:36:42 +0000 2018	[]	0.0	"<a href=""https://tapbots.com/software/tweetbot/mac"" rel=""nofollow"">Tweetbot for Mac</a>"	0.0	1.0	1543239402.0		
1114	@whinerunderhood Например какие? :)		1.067049334372479e+18	tinkoff_bank	Mon Nov 26 13:36:00 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	0.0	1543239360.0		
1115	https://t.co/YKFEFboqq7 ухххх сразу захотелось в армию!		1.0670491504480911e+18	i_am_romochka	Mon Nov 26 13:35:16 +0000 2018	[]	0.0	"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>"	0.0	0.0	1543239316.0		
1116	Отдавая что-то в ремонт, требуйте, чтобы вам вернули вещь в целости и сохранности. Вот как нужно действовать, если… https://t.co/4r85LjhIw0		1.0670491354324419e+18	tinkoffjournal	Mon Nov 26 13:35:13 +0000 2018	[]	0.0	"<a href=""https://amplifr.com"" rel=""nofollow"">Amplifr</a>"	3.0	1.0	1543239313.0		
