	Tweets	full_tweet	ID	Username	Date	Hashtags	Retweeted	Source	Likes	Retweets	Date_in_seconds	Geo	Coordinates
2830	"RT @55Suhareva: «Сбербанк заблокирует любую карту, если в платеже будут указаны слова про наркотики, террор, договор». 
Посылаем недругу ру…"		1.0647960939495834e+18	olive23_9	Tue Nov 20 08:22:26 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	93.0	1542702146.0		
2831	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647960734143283e+18	SOlga16	Tue Nov 20 08:22:21 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	570.0	1542702141.0		
2832	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647956164155474e+18	ilnur_81	Tue Nov 20 08:20:32 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	570.0	1542702032.0		
2833	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.064795436748288e+18	PLetov	Tue Nov 20 08:19:49 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	570.0	1542701989.0		
2834	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647954187043922e+18	phoenix_dnr	Tue Nov 20 08:19:45 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	570.0	1542701985.0		
2835	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647953133476618e+18	dobryfey	Tue Nov 20 08:19:20 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	570.0	1542701960.0		
2836	I'm at Сбербанк - @sberbank in Омск https://t.co/KVZWpAXqvO		1.0647952733382042e+18	ladageneral	Tue Nov 20 08:19:10 +0000 2018	[]	0.0	"<a href=""http://foursquare.com"" rel=""nofollow"">Foursquare</a>"	0.0	0.0	1542701950.0	{'type': 'Point', 'coordinates': [54.95380677, 73.38787604]}	{'type': 'Point', 'coordinates': [73.38787604, 54.95380677]}
2837	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647951504073564e+18	ketenpaz	Tue Nov 20 08:18:41 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	570.0	1542701921.0		
2838	RT @Yacsbera: #Сбербанк планирует потратить на традиционный новогодний корпоратив в гольф-клубе 30 млн. Руб. Это для Златкисов, Хасисов, Гр…		1.0647951253128192e+18	mrgrig6	Tue Nov 20 08:18:35 +0000 2018	[Hashtag(Text='Сбербанк')]	0.0	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>"	0.0	41.0	1542701915.0		
2839	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647943653930598e+18	dorogojj	Tue Nov 20 08:15:34 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542701734.0		
2840	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647939134777303e+18	gala_b007	Tue Nov 20 08:13:46 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	570.0	1542701626.0		
2841	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.064793894267904e+18	shatzcar	Tue Nov 20 08:13:41 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	570.0	1542701621.0		
2842	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647935215829524e+18	Dakota447	Tue Nov 20 08:12:13 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	570.0	1542701533.0		
2843	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647932005593539e+18	denzol2006	Tue Nov 20 08:10:56 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	570.0	1542701456.0		
2844	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647931659563336e+18	Martian_Ancient	Tue Nov 20 08:10:48 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542701448.0		
2845	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647929618656502e+18	123pavel_6	Tue Nov 20 08:09:59 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	570.0	1542701399.0		
2846	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.064792713747415e+18	udjin2	Tue Nov 20 08:09:00 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	570.0	1542701340.0		
2847	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647927001663037e+18	crazyshko	Tue Nov 20 08:08:57 +0000 2018	[]	0.0	"<a href=""http://www.tweetcaster.com"" rel=""nofollow"">TweetCaster for Android</a>"	0.0	570.0	1542701337.0		
2848	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647922287055749e+18	Grazhdano4ka	Tue Nov 20 08:07:04 +0000 2018	[]	0.0	"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Lite</a>"	0.0	570.0	1542701224.0		
2849	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647915330256732e+18	smeshnoy_84	Tue Nov 20 08:04:19 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542701059.0		
2850	RT @Yacsbera: #Сбербанк планирует потратить на традиционный новогодний корпоратив в гольф-клубе 30 млн. Руб. Это для Златкисов, Хасисов, Гр…		1.0647915287265608e+18	abbat15	Tue Nov 20 08:04:17 +0000 2018	[Hashtag(Text='Сбербанк')]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	41.0	1542701057.0		
2851	Сбербанк одобрил получение от ВЭБа прав на требования по кредитам		1.0647912097119478e+18	zysokiotis	Tue Nov 20 08:03:01 +0000 2018	[]	0.0	"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>"	0.0	0.0	1542700981.0		
2852	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647909830433096e+18	AndrejVorobeih	Tue Nov 20 08:02:07 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542700927.0		
2853	"""Сбербанк одобрил получение от ВЭБа прав на требования по кредитам"" #бизнес #новости"		1.0647908477602775e+18	BizWTF	Tue Nov 20 08:01:35 +0000 2018	[Hashtag(Text='бизнес'), Hashtag(Text='новости')]	0.0	"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>"	0.0	0.0	1542700895.0		
2854	RT @Yacsbera: #Сбербанк планирует потратить на традиционный новогодний корпоратив в гольф-клубе 30 млн. Руб. Это для Златкисов, Хасисов, Гр…		1.0647906825089475e+18	tundrik21	Tue Nov 20 08:00:56 +0000 2018	[Hashtag(Text='Сбербанк')]	0.0	"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"	0.0	41.0	1542700856.0		
2855	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647898409217925e+18	IrishaCyprus	Tue Nov 20 07:57:35 +0000 2018	[]	0.0	"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>"	0.0	570.0	1542700655.0		
2856	"RT @Gavriliada: Купил Гаврила две сосиски,
Сбербанк Гавриле дал кредит."		1.0647894415316664e+18	Austerlizz	Tue Nov 20 07:56:00 +0000 2018	[]	0.0	"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"	0.0	570.0	1542700560.0		
